pedido_id,cliente_id,fecha_pedido,fecha_entrega,estado,canal,metodo_pago,pais_envio,total_bruto,descuento_pct,total_neto,data_owner,clasificacion_dato
PED-000047,CLI-00254,2024-05-31,2024-06-03,entregado,marketplace,credito_tienda,México,2583343.41,0.0,2583343.41,ventas@retailtech.co,interno
PED-000048,CLI-00195,2023-06-27,2023-07-09,entregado,marketplace,transferencia,Argentina,2309888.29,0.03,2240591.64,ventas@retailtech.co,interno
PED-000049,CLI-00267,2023-09-12,,cancelado,mobile,PSE,Perú,3373487.54,0.0,3373487.54,ventas@retailtech.co,interno
PED-000050,CLI-00136,2024-06-08,2024-06-13,entregado,mobile,PSE,Argentina,1115840.01,0.16,937305.61,ventas@retailtech.co,interno
PED-000051,CLI-00108,2024-12-04,2024-12-10,entregado,tienda_fisica,tarjeta_credito,Chile,2493627.64,0.04,2393882.53,ventas@retailtech.co,interno
PED-000052,CLI-00176,2024-08-19,2024-08-29,entregado,marketplace,tarjeta_credito,Argentina,2367996.11,0.21,1870716.93,ventas@retailtech.co,interno
PED-000053,CLI-00098,2024-01-26,,enviado,tienda_fisica,efectivo,México,2354133.27,0.0,2354133.27,ventas@retailtech.co,interno
PED-000054,CLI-00267,2024-12-08,,cancelado,web,credito_tienda,Ecuador,1905573.0,0.06,1791238.62,ventas@retailtech.co,interno
PED-000055,CLI-00177,2023-08-18,2023-08-30,entregado,web,transferencia,Perú,1800455.01,0.12,1584400.41,ventas@retailtech.co,interno
PED-000056,CLI-00261,2024-12-02,2024-12-08,entregado,mobile,efectivo,Argentina,2609253.13,0.02,2557068.07,ventas@retailtech.co,interno
PED-000057,CLI-00048,2024-09-09,2024-09-13,entregado,mobile,PSE,Ecuador,1047267.58,0.29,743559.98,ventas@retailtech.co,interno
PED-000058,CLI-00158,2024-01-22,2024-01-23,entregado,web,efectivo,Perú,1959180.21,0.0,1959180.21,ventas@retailtech.co,interno
PED-000059,CLI-00184,2023-06-08,2023-06-09,entregado,marketplace,credito_tienda,Argentina,1146139.35,0.0,1146139.35,ventas@retailtech.co,interno
PED-000060,CLI-00296,2024-12-25,2024-12-31,entregado,mobile,transferencia,Argentina,3350532.32,0.0,3350532.32,ventas@retailtech.co,interno
PED-000061,CLI-00215,2023-04-05,2023-04-11,entregado,tienda_fisica,PSE,Argentina,766404.49,0.0,766404.49,ventas@retailtech.co,interno
PED-000062,CLI-00148,2024-07-28,2024-08-11,entregado,mobile,tarjeta_credito,Ecuador,423658.78,0.19,343163.61,ventas@retailtech.co,interno
PED-000063,CLI-00172,2024-01-26,,cancelado,web,credito_tienda,Chile,1365918.87,0.28,983461.59,ventas@retailtech.co,interno
PED-000064,CLI-00195,2024-06-04,2024-06-12,entregado,web,tarjeta_credito,México,1055108.04,0.0,1055108.04,ventas@retailtech.co,interno
PED-000065,CLI-00133,2024-07-04,2024-07-13,devuelto,marketplace,tarjeta_credito,México,252514.58,0.0,252514.58,ventas@retailtech.co,interno
PED-000066,CLI-00094,2024-12-20,2025-01-04,entregado,web,transferencia,Ecuador,2271800.03,0.23,1749286.02,ventas@retailtech.co,interno
PED-000067,CLI-00141,2023-03-31,2023-04-02,entregado,tienda_fisica,transferencia,Perú,2784896.38,0.0,2784896.38,ventas@retailtech.co,interno
PED-000068,CLI-00006,2024-02-19,2024-02-26,entregado,web,credito_tienda,Colombia,1378518.99,0.0,1378518.99,ventas@retailtech.co,interno
PED-000069,CLI-00055,2023-03-16,2023-03-22,entregado,tienda_fisica,transferencia,Perú,2759449.34,0.03,2676665.86,ventas@retailtech.co,interno
PED-000070,CLI-00231,2024-11-07,2024-11-08,entregado,tienda_fisica,PSE,Chile,1878800.48,0.0,1878800.48,ventas@retailtech.co,interno
PED-000071,CLI-00027,2024-10-25,2024-10-31,entregado,web,credito_tienda,Argentina,3064815.07,0.0,3064815.07,ventas@retailtech.co,interno
PED-000072,CLI-00207,2024-07-14,2024-07-16,entregado,mobile,transferencia,Ecuador,2625330.64,0.0,2625330.64,ventas@retailtech.co,interno
PED-000073,CLI-00120,2023-05-26,,cancelado,web,PSE,Ecuador,792238.19,0.0,792238.19,ventas@retailtech.co,interno
PED-000074,CLI-00047,2023-02-25,2023-03-11,entregado,tienda_fisica,tarjeta_credito,Chile,1932257.62,0.3,1352580.33,ventas@retailtech.co,interno
PED-000075,CLI-00145,2024-08-17,,enviado,web,efectivo,Argentina,1174706.99,0.0,1174706.99,ventas@retailtech.co,interno
PED-000076,CLI-00187,2023-07-18,,enviado,mobile,credito_tienda,Argentina,1590994.77,0.0,1590994.77,ventas@retailtech.co,interno
PED-000077,CLI-00258,2023-11-20,2023-11-27,entregado,tienda_fisica,efectivo,México,1113421.36,0.0,1113421.36,ventas@retailtech.co,interno
PED-000078,CLI-00287,2023-12-06,2023-12-21,entregado,web,PSE,Ecuador,1572618.96,0.0,1572618.96,ventas@retailtech.co,interno
PED-000079,CLI-00050,2023-10-15,2023-10-29,entregado,web,tarjeta_credito,Argentina,707600.95,0.27,516548.69,ventas@retailtech.co,interno
PED-000080,CLI-00161,2024-08-18,2024-08-28,entregado,marketplace,PSE,Chile,2075376.18,0.0,2075376.18,ventas@retailtech.co,interno
PED-000081,CLI-00217,2024-08-26,2024-09-07,entregado,web,PSE,Argentina,1766403.02,0.04,1695746.9,ventas@retailtech.co,interno
PED-000082,CLI-00090,2024-06-10,2024-06-13,entregado,marketplace,efectivo,Colombia,647529.51,0.0,647529.51,ventas@retailtech.co,interno
PED-000083,CLI-00129,2024-05-14,2024-05-18,entregado,tienda_fisica,transferencia,Perú,1308787.27,0.0,1308787.27,ventas@retailtech.co,interno
PED-000084,CLI-00168,2023-02-17,,cancelado,tienda_fisica,credito_tienda,Argentina,2278623.5,0.0,2278623.5,ventas@retailtech.co,interno
PED-000085,CLI-00050,2024-01-21,2024-02-01,entregado,tienda_fisica,transferencia,México,2067183.92,0.0,2067183.92,ventas@retailtech.co,interno
PED-000086,CLI-00294,2023-12-28,2024-01-11,entregado,mobile,transferencia,México,1700332.56,0.15,1445282.68,ventas@retailtech.co,interno
PED-000087,CLI-00073,2024-06-10,2024-06-21,entregado,mobile,transferencia,Chile,547085.42,0.0,547085.42,ventas@retailtech.co,interno
PED-000088,CLI-00241,2024-05-08,2024-05-19,entregado,web,PSE,Colombia,757196.23,0.0,757196.23,ventas@retailtech.co,interno
PED-000089,CLI-00091,2024-08-29,,enviado,web,PSE,Chile,2212652.98,0.0,2212652.98,ventas@retailtech.co,interno
PED-000085,CLI-00175,2024-06-13,2024-06-20,devuelto,web,PSE,Perú,1983526.34,0.0,1983526.34,ventas@retailtech.co,interno
PED-000091,CLI-00089,2024-04-27,2024-05-11,entregado,mobile,credito_tienda,Ecuador,787289.26,0.0,787289.26,ventas@retailtech.co,interno
PED-000092,CLI-00224,2023-06-21,2023-07-03,entregado,marketplace,PSE,Colombia,2097953.43,0.28,1510526.47,ventas@retailtech.co,interno
PED-000093,CLI-00060,2024-06-19,,pendiente,mobile,transferencia,Argentina,1483787.67,0.15,1261219.52,ventas@retailtech.co,interno
PED-000094,CLI-00002,2024-06-28,2024-07-07,entregado,marketplace,credito_tienda,Perú,2316389.32,0.03,2246897.64,ventas@retailtech.co,interno
PED-000095,CLI-00226,2023-02-14,2023-02-26,entregado,tienda_fisica,credito_tienda,Ecuador,822464.74,0.0,822464.74,ventas@retailtech.co,interno
PED-000096,CLI-00144,2024-12-14,,cancelado,web,efectivo,Argentina,1503575.65,0.0,1503575.65,ventas@retailtech.co,interno
PED-000097,CLI-00006,2024-02-23,,cancelado,web,credito_tienda,Colombia,44006.35,0.0,44006.35,ventas@retailtech.co,interno
PED-000098,CLI-00156,2023-07-30,2023-08-11,entregado,tienda_fisica,credito_tienda,Perú,395376.68,0.12,347931.48,ventas@retailtech.co,interno
PED-000099,CLI-00285,2024-09-18,2024-09-23,entregado,mobile,efectivo,Argentina,732835.47,0.12,644895.21,ventas@retailtech.co,interno
PED-000100,CLI-00084,2023-09-17,2023-09-22,entregado,web,PSE,Perú,2715325.83,0.0,2715325.83,ventas@retailtech.co,interno
PED-000101,CLI-00034,2023-06-15,2023-06-17,entregado,mobile,transferencia,Ecuador,1416949.15,0.0,1416949.15,ventas@retailtech.co,interno
PED-000102,CLI-00162,2023-04-04,,pendiente,mobile,efectivo,Colombia,2110852.91,0.14,1815333.5,ventas@retailtech.co,interno
PED-000103,CLI-00037,2024-01-29,2024-02-13,entregado,mobile,transferencia,Perú,1835494.26,0.18,1505105.29,ventas@retailtech.co,interno
PED-000104,CLI-00299,2024-11-03,,pendiente,mobile,credito_tienda,México,701744.07,0.16,589465.02,ventas@retailtech.co,interno
PED-000105,CLI-00235,2024-01-04,2024-01-08,entregado,tienda_fisica,transferencia,Perú,326778.77,0.29,232012.93,ventas@retailtech.co,interno
PED-000106,CLI-00209,2024-06-14,2024-06-15,entregado,tienda_fisica,efectivo,México,338326.36,0.02,331559.83,ventas@retailtech.co,interno
PED-000107,CLI-00065,2023-07-19,2023-07-27,entregado,web,credito_tienda,Chile,932348.58,0.17,773849.32,ventas@retailtech.co,interno
PED-000108,CLI-00155,2023-04-30,2023-05-13,entregado,marketplace,transferencia,Argentina,920484.52,0.0,920484.52,ventas@retailtech.co,interno
PED-000109,CLI-00018,2023-09-07,2023-09-20,entregado,marketplace,tarjeta_credito,Chile,2720205.85,0.0,2720205.85,ventas@retailtech.co,interno
PED-000110,CLI-00242,2024-10-10,,enviado,tienda_fisica,credito_tienda,Argentina,2461586.95,0.07,2289275.86,ventas@retailtech.co,interno
PED-000111,CLI-00206,2023-09-27,,pendiente,web,credito_tienda,México,348207.77,0.0,348207.77,ventas@retailtech.co,interno
PED-000112,CLI-00117,2023-12-29,2024-01-02,entregado,marketplace,PSE,México,3316235.43,0.08,3050936.6,ventas@retailtech.co,interno
PED-000113,CLI-00213,2023-09-29,2023-10-03,entregado,mobile,tarjeta_credito,Colombia,2926418.17,0.0,2926418.17,ventas@retailtech.co,interno
PED-000114,CLI-00027,2024-11-23,2024-12-04,devuelto,marketplace,efectivo,Argentina,48017.27,0.0,48017.27,ventas@retailtech.co,interno
PED-000115,CLI-00299,2024-08-11,2024-08-25,entregado,tienda_fisica,transferencia,México,660479.72,0.0,660479.72,ventas@retailtech.co,interno
PED-000116,CLI-00020,2023-05-12,2023-05-13,entregado,tienda_fisica,transferencia,Ecuador,1495536.14,0.0,1495536.14,ventas@retailtech.co,interno
PED-000027,CLI-00225,2024-04-13,2024-04-15,entregado,web,efectivo,Chile,2420006.66,0.14,2081205.73,ventas@retailtech.co,interno
PED-000118,CLI-00206,2023-09-23,2023-09-26,entregado,tienda_fisica,PSE,Perú,849058.55,0.0,849058.55,ventas@retailtech.co,interno
PED-000119,CLI-00081,2024-03-05,2024-03-17,entregado,mobile,tarjeta_credito,Ecuador,1417059.28,0.11,1261182.76,ventas@retailtech.co,interno
PED-000120,CLI-00092,2023-08-30,2023-09-08,entregado,marketplace,tarjeta_credito,México,1348569.75,0.0,1348569.75,ventas@retailtech.co,interno
PED-000121,CLI-00183,2023-05-18,2023-06-02,entregado,tienda_fisica,credito_tienda,Argentina,2528947.15,0.16,2124315.61,ventas@retailtech.co,interno
PED-000122,CLI-00060,2023-04-12,,pendiente,marketplace,efectivo,Chile,2853017.79,0.02,2795957.43,ventas@retailtech.co,interno
PED-000123,CLI-00122,2024-07-27,2024-08-05,entregado,mobile,efectivo,Chile,93927.78,0.08,86413.56,ventas@retailtech.co,interno
PED-000124,CLI-00275,2024-06-06,2024-06-14,entregado,mobile,PSE,Ecuador,297466.14,0.13,258795.54,ventas@retailtech.co,interno
PED-000125,CLI-00046,2023-12-12,,cancelado,web,PSE,Chile,2152777.73,0.0,2152777.73,ventas@retailtech.co,interno
PED-000126,CLI-00166,2023-11-21,2023-12-02,entregado,marketplace,efectivo,Ecuador,954466.56,0.0,954466.56,ventas@retailtech.co,interno
PED-000127,CLI-00145,2024-04-06,2024-04-13,entregado,tienda_fisica,tarjeta_credito,México,2993386.16,0.0,2993386.16,ventas@retailtech.co,interno
PED-000128,CLI-00035,2023-04-16,,enviado,web,transferencia,Argentina,3280357.97,0.0,3280357.97,ventas@retailtech.co,interno
PED-000129,CLI-00230,2023-03-27,2023-03-29,entregado,tienda_fisica,PSE,México,564578.41,0.0,564578.41,ventas@retailtech.co,interno
PED-000130,CLI-00022,2024-03-29,2024-04-09,entregado,tienda_fisica,efectivo,Perú,1855429.62,0.0,1855429.62,ventas@retailtech.co,interno
PED-000131,CLI-00107,2024-07-07,2024-07-22,entregado,marketplace,credito_tienda,Perú,1570836.14,0.0,1570836.14,ventas@retailtech.co,interno
PED-000132,CLI-00056,2024-10-16,2024-10-25,entregado,marketplace,efectivo,Chile,1231409.84,0.0,1231409.84,ventas@retailtech.co,interno
PED-000133,CLI-00083,2023-06-09,2023-06-14,entregado,tienda_fisica,efectivo,Perú,1843523.94,0.0,1843523.94,ventas@retailtech.co,interno
PED-000134,CLI-00252,2024-12-05,2024-12-20,entregado,tienda_fisica,credito_tienda,México,2650267.64,0.0,2650267.64,ventas@retailtech.co,interno
PED-000135,CLI-00154,2024-07-15,2024-07-21,entregado,mobile,transferencia,Perú,3090513.19,0.0,3090513.19,ventas@retailtech.co,interno
PED-000136,CLI-00167,2023-03-23,2023-03-30,entregado,tienda_fisica,credito_tienda,Chile,2804857.77,0.15,2384129.1,ventas@retailtech.co,interno
PED-000137,CLI-00267,2023-03-12,2023-03-15,entregado,tienda_fisica,credito_tienda,Perú,408488.32,0.0,408488.32,ventas@retailtech.co,interno
PED-000138,CLI-00063,2023-01-20,,enviado,tienda_fisica,efectivo,México,3394763.86,0.0,3394763.86,ventas@retailtech.co,interno
PED-000139,CLI-00247,2023-01-09,2023-01-13,entregado,tienda_fisica,transferencia,Chile,76168.84,0.0,76168.84,ventas@retailtech.co,interno
PED-000140,CLI-00164,2023-02-02,2023-02-08,entregado,marketplace,tarjeta_credito,Argentina,2633229.3,0.0,2633229.3,ventas@retailtech.co,interno
PED-000141,CLI-00154,2023-07-16,2023-07-31,entregado,marketplace,transferencia,México,2903175.86,0.25,2177381.9,ventas@retailtech.co,interno
PED-000142,CLI-00130,2023-02-04,2023-02-08,entregado,marketplace,transferencia,Ecuador,2704210.99,0.0,2704210.99,ventas@retailtech.co,interno
PED-000143,CLI-00156,2023-11-27,2023-11-30,devuelto,marketplace,efectivo,México,3282537.71,0.01,3249712.33,ventas@retailtech.co,interno
PED-000144,CLI-00010,2023-02-23,2023-03-09,entregado,mobile,efectivo,Argentina,844981.29,0.29,599936.72,ventas@retailtech.co,interno
PED-000145,CLI-00281,2023-09-06,,enviado,mobile,efectivo,Colombia,170926.96,0.0,170926.96,ventas@retailtech.co,interno
PED-000146,CLI-00039,2024-05-26,2024-05-28,entregado,web,efectivo,Ecuador,3394539.68,0.1,3055085.71,ventas@retailtech.co,interno
PED-000147,CLI-00208,2024-07-03,,enviado,marketplace,PSE,Colombia,833544.34,0.04,800202.57,ventas@retailtech.co,interno
PED-000148,CLI-00259,2024-01-02,2024-01-14,entregado,tienda_fisica,credito_tienda,Ecuador,3147854.08,0.0,3147854.08,ventas@retailtech.co,interno
PED-000149,CLI-00098,2024-08-03,2024-08-06,entregado,web,credito_tienda,México,1149791.04,0.0,1149791.04,ventas@retailtech.co,interno
PED-000150,CLI-00225,2023-09-27,2023-10-06,entregado,mobile,tarjeta_credito,Argentina,27501.4,0.0,27501.4,ventas@retailtech.co,interno
PED-000151,CLI-00229,2024-09-27,,cancelado,mobile,credito_tienda,Ecuador,2530487.38,0.0,2530487.38,ventas@retailtech.co,interno
PED-000152,CLI-00044,2024-07-18,2024-07-21,entregado,web,PSE,México,2252141.16,0.1,2026927.04,ventas@retailtech.co,interno
PED-000153,CLI-00229,2023-07-26,,cancelado,marketplace,credito_tienda,Argentina,690867.82,0.0,690867.82,ventas@retailtech.co,interno
PED-000154,CLI-00130,2023-09-20,2023-09-21,entregado,marketplace,tarjeta_credito,Perú,2130688.84,0.0,2130688.84,ventas@retailtech.co,interno
PED-000155,CLI-00219,2023-03-04,,cancelado,web,credito_tienda,Chile,2608584.11,0.0,2608584.11,ventas@retailtech.co,interno
PED-000156,CLI-00060,2023-03-14,2023-03-28,entregado,web,PSE,Argentina,3307497.1,0.0,3307497.1,ventas@retailtech.co,interno
PED-000157,CLI-00243,2023-07-17,2023-07-26,entregado,web,credito_tienda,Chile,3317574.12,0.17,2753586.52,ventas@retailtech.co,interno
PED-000158,CLI-00236,2024-12-20,2024-12-31,entregado,tienda_fisica,PSE,Argentina,386755.83,0.0,386755.83,ventas@retailtech.co,interno
PED-000159,CLI-00197,2024-03-29,2024-04-13,devuelto,tienda_fisica,transferencia,Ecuador,1120163.61,0.0,1120163.61,ventas@retailtech.co,interno
PED-000160,CLI-00158,2023-11-28,2023-12-08,entregado,tienda_fisica,transferencia,Perú,1921051.18,0.0,1921051.18,ventas@retailtech.co,interno
PED-000035,CLI-00184,2023-01-01,2023-01-13,devuelto,web,efectivo,México,1013575.54,0.0,1013575.54,ventas@retailtech.co,interno
PED-000162,CLI-00299,2023-11-19,2023-11-20,entregado,mobile,tarjeta_credito,Colombia,2882622.67,0.28,2075488.32,ventas@retailtech.co,interno
PED-000163,CLI-00159,2023-06-09,2023-06-12,entregado,tienda_fisica,tarjeta_credito,Argentina,3116448.1,0.0,3116448.1,ventas@retailtech.co,interno
PED-000164,CLI-00287,2023-08-11,2023-08-23,entregado,web,credito_tienda,Ecuador,1153304.89,0.0,1153304.89,ventas@retailtech.co,interno
PED-000165,CLI-00209,2024-08-13,2024-08-20,entregado,marketplace,transferencia,Colombia,219331.41,0.0,219331.41,ventas@retailtech.co,interno
PED-000166,CLI-00226,2023-08-21,,cancelado,web,efectivo,Argentina,3252069.75,0.25,2439052.31,ventas@retailtech.co,interno
PED-000167,CLI-00094,2024-07-06,,pendiente,web,transferencia,Perú,1160739.91,0.0,1160739.91,ventas@retailtech.co,interno
PED-000168,CLI-00091,2024-08-12,2024-08-21,entregado,mobile,efectivo,Colombia,1525976.45,0.0,1525976.45,ventas@retailtech.co,interno
PED-000169,CLI-00080,2023-02-20,2023-03-01,entregado,mobile,transferencia,Argentina,320649.48,0.0,320649.48,ventas@retailtech.co,interno
PED-000170,CLI-00153,2024-02-09,,enviado,mobile,tarjeta_credito,Chile,2165589.01,0.06,2035653.67,ventas@retailtech.co,interno
PED-000171,CLI-00209,2023-11-28,2023-12-09,entregado,mobile,efectivo,Chile,2359322.75,0.03,2288543.07,ventas@retailtech.co,interno
PED-000172,CLI-00261,2023-01-25,2023-02-07,entregado,mobile,transferencia,Colombia,3457090.41,0.0,3457090.41,ventas@retailtech.co,interno
PED-000173,CLI-00035,2023-08-28,2023-09-01,devuelto,mobile,credito_tienda,México,2556491.47,0.05,2428666.9,ventas@retailtech.co,interno
PED-000174,CLI-00265,2023-10-22,,cancelado,marketplace,tarjeta_credito,Chile,2435938.41,0.0,2435938.41,ventas@retailtech.co,interno
PED-000175,CLI-00285,2024-07-04,2024-07-08,entregado,mobile,tarjeta_credito,Perú,1843348.94,0.0,1843348.94,ventas@retailtech.co,interno
PED-000176,CLI-00166,2024-11-10,2024-11-19,entregado,web,transferencia,Ecuador,616860.77,0.0,616860.77,ventas@retailtech.co,interno
PED-000177,CLI-00067,2023-03-10,2023-03-17,devuelto,web,efectivo,Ecuador,3197219.01,0.2,2557775.21,ventas@retailtech.co,interno
PED-000178,CLI-00056,2024-01-25,2024-02-03,entregado,mobile,PSE,Argentina,1121209.49,0.03,1087573.21,ventas@retailtech.co,interno
PED-000179,CLI-00288,2024-07-28,2024-08-12,devuelto,marketplace,PSE,Colombia,3229888.65,0.01,3197589.76,ventas@retailtech.co,interno
PED-000180,CLI-00040,2023-12-27,2024-01-02,entregado,tienda_fisica,transferencia,Colombia,3424398.83,0.07,3184690.91,ventas@retailtech.co,interno
PED-000181,CLI-00055,2023-10-14,2023-10-18,devuelto,marketplace,credito_tienda,Ecuador,3142684.22,0.0,3142684.22,ventas@retailtech.co,interno
PED-000182,CLI-00190,2024-10-02,2024-10-13,entregado,tienda_fisica,transferencia,Argentina,860253.81,0.0,860253.81,ventas@retailtech.co,interno
PED-000183,CLI-00084,2024-10-30,,enviado,tienda_fisica,credito_tienda,México,1906204.55,0.0,1906204.55,ventas@retailtech.co,interno
PED-000184,CLI-00073,2023-05-29,2023-06-09,entregado,mobile,efectivo,México,1128299.33,0.28,812375.52,ventas@retailtech.co,interno
PED-000185,CLI-00168,2023-11-23,2023-12-08,entregado,mobile,PSE,Colombia,1079134.66,0.29,766185.61,ventas@retailtech.co,interno
PED-000186,CLI-00143,2023-01-27,,enviado,mobile,PSE,Ecuador,952347.58,0.18,780925.02,ventas@retailtech.co,interno
PED-000187,CLI-00222,2023-03-23,,pendiente,mobile,transferencia,Perú,1770577.94,0.14,1522697.03,ventas@retailtech.co,interno
