evento_id,cliente_id,session_id,tipo_evento,timestamp,producto_id,dispositivo,pais,duracion_seg,data_owner,clasificacion_dato
EVT-0000030,,SES-00001057,checkout,2023-08-14 08:05:17,,desktop,Colombia,576.0,analytics@retailtech.co,público
EVT-0000031,CLI-00176,SES-00000321,remove_from_cart,2024-10-10 03:19:00,PROD-0030,mobile,México,3.0,analytics@retailtech.co,público
EVT-0000032,CLI-00213,SES-00001526,page_view,2023-11-14 09:28:02,,mobile,Chile,396.0,analytics@retailtech.co,público
EVT-0000033,CLI-00235,SES-00000045,add_to_cart,2024-04-09 03:18:42,PROD-0009,desktop,Colombia,363.0,analytics@retailtech.co,público
EVT-0000034,,SES-00000938,checkout,2024-02-04 08:20:30,,mobile,México,276.0,analytics@retailtech.co,público
EVT-0000035,,SES-00001920,page_view,2023-02-25 14:46:17,,mobile,Colombia,595.0,analytics@retailtech.co,público
EVT-0000036,CLI-00118,SES-00000219,page_view,2024-09-20 16:28:00,,tablet,Colombia,296.0,analytics@retailtech.co,público
EVT-0000037,CLI-00154,SES-00001707,page_view,2023-04-02 05:52:40,,mobile,Colombia,462.0,analytics@retailtech.co,público
EVT-0000038,CLI-00024,SES-00001896,search,2023-12-26 07:04:44,,mobile,Colombia,38.0,analytics@retailtech.co,público
EVT-0000039,CLI-00171,SES-00001612,page_view,2023-03-25 00:34:38,,desktop,Colombia,39.0,analytics@retailtech.co,público
EVT-0000040,,SES-00001068,page_view,2024-02-02 09:01:03,,mobile,Colombia,575.0,analytics@retailtech.co,público
EVT-0000041,CLI-00140,SES-00000143,add_to_cart,2024-01-23 20:40:37,PROD-0067,mobile,Colombia,416.0,analytics@retailtech.co,público
EVT-0000042,CLI-00240,SES-00000148,page_view,2023-04-20 00:03:58,,mobile,Colombia,228.0,analytics@retailtech.co,público
EVT-0000043,CLI-00102,SES-00000910,purchase,2024-10-31 15:20:36,PROD-0005,tablet,Colombia,76.0,analytics@retailtech.co,público
EVT-0000044,CLI-00027,SES-00001262,remove_from_cart,2024-03-28 03:36:45,PROD-0036,desktop,Colombia,294.0,analytics@retailtech.co,público
EVT-0000045,CLI-00217,SES-00000466,search,2023-10-28 02:51:22,,desktop,Colombia,311.0,analytics@retailtech.co,público
EVT-0000046,CLI-00176,SES-00000332,search,2024-11-10 18:46:26,,desktop,Colombia,28.0,analytics@retailtech.co,público
EVT-0000047,,SES-00001919,page_view,2023-08-05 23:14:23,,desktop,Colombia,600.0,analytics@retailtech.co,público
EVT-0000048,CLI-00179,SES-00000791,page_view,2024-08-20 05:24:40,,tablet,Colombia,490.0,analytics@retailtech.co,público
EVT-0000049,CLI-00111,SES-00001564,remove_from_cart,2024-10-25 14:15:06,PROD-0039,mobile,México,519.0,analytics@retailtech.co,público
EVT-0000050,CLI-00101,SES-00001663,checkout,2024-05-22 22:46:09,,tablet,Chile,386.0,analytics@retailtech.co,público
EVT-0000051,CLI-00246,SES-00001134,add_to_cart,2023-12-04 21:15:53,PROD-0050,mobile,México,81.0,analytics@retailtech.co,público
EVT-0000052,CLI-00247,SES-00000902,remove_from_cart,2023-09-05 08:36:12,PROD-0050,desktop,Colombia,573.0,analytics@retailtech.co,público
EVT-0000053,,SES-00001245,search,2024-10-18 03:30:55,,desktop,Colombia,398.0,analytics@retailtech.co,público
EVT-0000054,CLI-00286,SES-00001537,add_to_cart,2023-05-20 10:01:25,PROD-0048,mobile,Colombia,548.0,analytics@retailtech.co,público
EVT-0000055,,SES-00001287,page_view,2024-12-11 19:28:00,,tablet,Colombia,237.0,analytics@retailtech.co,público
EVT-0000056,CLI-00244,SES-00001484,add_to_cart,2024-09-05 22:15:16,PROD-0013,tablet,Ecuador,598.0,analytics@retailtech.co,público
EVT-0000057,CLI-00029,SES-00001273,search,2023-06-04 11:20:08,,desktop,Colombia,50.0,analytics@retailtech.co,público
EVT-0000058,CLI-00029,SES-00000670,page_view,2024-11-13 02:50:50,,mobile,Colombia,600.0,analytics@retailtech.co,público
EVT-0000060,,SES-00001088,checkout,2024-11-19 23:35:32,,mobile,México,587.0,analytics@retailtech.co,público
EVT-0000061,CLI-00288,SES-00000262,purchase,2024-10-01 01:48:43,PROD-0062,desktop,México,63.0,analytics@retailtech.co,público
EVT-0000062,,SES-00001943,add_to_cart,2023-09-28 21:16:33,PROD-0060,tablet,Colombia,372.0,analytics@retailtech.co,público
EVT-0000064,CLI-00148,SES-00000788,page_view,2023-08-07 02:33:46,,desktop,México,229.0,analytics@retailtech.co,público
EVT-0000065,,SES-00001286,page_view,2023-01-30 04:12:26,,mobile,México,194.0,analytics@retailtech.co,público
EVT-0000066,,SES-00000561,purchase,2023-11-21 20:39:37,PROD-0056,desktop,Perú,592.0,analytics@retailtech.co,público
EVT-0000067,CLI-00092,SES-00001615,remove_from_cart,2024-11-13 02:45:36,PROD-0018,tablet,Colombia,412.0,analytics@retailtech.co,público
EVT-0000068,CLI-00124,SES-00000533,search,2024-04-10 03:11:24,,tablet,Perú,170.0,analytics@retailtech.co,público
EVT-0000069,CLI-00132,SES-00001401,page_view,2023-07-10 10:11:58,,tablet,Colombia,440.0,analytics@retailtech.co,público
EVT-0000070,CLI-00060,SES-00001604,page_view,2024-12-21 23:34:27,,desktop,Colombia,25.0,analytics@retailtech.co,público
EVT-0000071,CLI-00256,SES-00001723,search,2024-09-11 22:33:01,,mobile,Colombia,58.0,analytics@retailtech.co,público
EVT-0000072,,SES-00000981,search,2024-10-17 12:44:56,,tablet,Colombia,591.0,analytics@retailtech.co,público
EVT-0000073,CLI-00137,SES-00000959,remove_from_cart,2023-04-11 22:09:01,PROD-0031,desktop,Colombia,407.0,analytics@retailtech.co,público
EVT-0000075,CLI-00291,SES-00001577,remove_from_cart,2024-09-29 10:22:42,PROD-0060,desktop,México,585.0,analytics@retailtech.co,público
EVT-0000076,CLI-00297,SES-00000710,search,2023-07-20 19:53:22,,desktop,Colombia,150.0,analytics@retailtech.co,público
EVT-0000077,CLI-00038,SES-00001384,page_view,2023-09-18 23:28:17,,desktop,Ecuador,467.0,analytics@retailtech.co,público
EVT-0000078,CLI-00182,SES-00001338,search,2023-01-13 06:45:33,,mobile,Perú,165.0,analytics@retailtech.co,público
EVT-0000079,CLI-00106,SES-00001632,page_view,2024-01-09 17:18:46,,desktop,Colombia,256.0,analytics@retailtech.co,público
EVT-0000080,,SES-00001306,remove_from_cart,2023-02-02 23:32:44,PROD-0033,tablet,Colombia,176.0,analytics@retailtech.co,público
EVT-0000081,CLI-00268,SES-00000352,add_to_cart,2023-04-24 01:56:30,PROD-0011,tablet,Colombia,362.0,analytics@retailtech.co,público
EVT-0000082,,SES-00000014,search,2023-10-25 17:22:09,,desktop,México,564.0,analytics@retailtech.co,público
EVT-0000083,,SES-00001397,add_to_cart,2023-10-30 04:34:30,PROD-0056,tablet,Colombia,441.0,analytics@retailtech.co,público
EVT-0000084,,SES-00000724,add_to_cart,2023-08-03 20:25:20,PROD-0042,mobile,Colombia,19.0,analytics@retailtech.co,público
EVT-0000085,,SES-00001102,search,2024-01-08 02:02:32,,mobile,México,178.0,analytics@retailtech.co,público
EVT-0000086,,SES-00000926,page_view,2023-08-01 22:03:00,,desktop,Colombia,158.0,analytics@retailtech.co,público
EVT-0000087,CLI-00098,SES-00001797,add_to_cart,2024-10-31 16:14:00,PROD-0019,tablet,Colombia,339.0,analytics@retailtech.co,público
EVT-0000088,CLI-00073,SES-00000062,purchase,2023-07-29 18:07:27,PROD-0072,tablet,Colombia,406.0,analytics@retailtech.co,público
EVT-0000090,,SES-00001931,page_view,2023-07-31 00:16:23,,desktop,Colombia,271.0,analytics@retailtech.co,público
EVT-0000091,CLI-00148,SES-00001505,page_view,2024-08-17 14:00:01,,mobile,Colombia,98.0,analytics@retailtech.co,público
EVT-0000092,CLI-00212,SES-00001057,purchase,2024-05-16 13:19:09,PROD-0022,desktop,Colombia,122.0,analytics@retailtech.co,público
EVT-0000093,,SES-00001261,add_to_cart,2024-01-03 00:20:52,PROD-0053,tablet,Ecuador,200.0,analytics@retailtech.co,público
EVT-0000094,CLI-00191,SES-00000501,page_view,2023-05-06 10:53:10,,tablet,Colombia,566.0,analytics@retailtech.co,público
EVT-0000095,CLI-00234,SES-00000482,add_to_cart,2023-02-19 10:32:53,PROD-0039,mobile,Argentina,314.0,analytics@retailtech.co,público
EVT-0000096,CLI-00102,SES-00001581,add_to_cart,2024-05-23 12:11:21,PROD-0006,desktop,Colombia,163.0,analytics@retailtech.co,público
EVT-0000097,CLI-00093,SES-00001443,search,2023-11-29 10:32:43,,tablet,Colombia,42.0,analytics@retailtech.co,público
EVT-0000098,CLI-00010,SES-00000522,remove_from_cart,2023-08-15 02:28:17,PROD-0003,mobile,Chile,520.0,analytics@retailtech.co,público
EVT-0000099,CLI-00279,SES-00001637,search,2023-01-08 22:48:37,,mobile,Chile,226.0,analytics@retailtech.co,público
EVT-0000100,CLI-00187,SES-00000093,add_to_cart,2024-01-12 22:21:44,PROD-0024,mobile,México,417.0,analytics@retailtech.co,público
EVT-0000101,CLI-00046,SES-00000386,page_view,2024-03-29 10:28:31,,mobile,Ecuador,229.0,analytics@retailtech.co,público
EVT-0000102,CLI-00211,SES-00001791,remove_from_cart,2023-01-19 22:19:48,PROD-0057,mobile,Colombia,107.0,analytics@retailtech.co,público
EVT-0000103,CLI-00183,SES-00000952,remove_from_cart,2023-03-31 12:00:35,PROD-0074,desktop,Chile,357.0,analytics@retailtech.co,público
EVT-0000104,CLI-00104,SES-00001069,search,2024-11-06 05:11:07,,tablet,Chile,527.0,analytics@retailtech.co,público
EVT-0000105,CLI-00037,SES-00001040,page_view,2023-07-20 08:29:27,,tablet,Colombia,233.0,analytics@retailtech.co,público
EVT-0000106,,SES-00001532,remove_from_cart,2023-01-08 21:58:31,PROD-0015,desktop,México,491.0,analytics@retailtech.co,público
EVT-0000107,,SES-00001426,remove_from_cart,2024-08-14 19:08:29,PROD-0043,mobile,Argentina,226.0,analytics@retailtech.co,público
EVT-0000108,CLI-00266,SES-00001052,add_to_cart,2023-08-05 16:43:31,PROD-0019,mobile,México,575.0,analytics@retailtech.co,público
EVT-0000109,CLI-00280,SES-00000529,checkout,2024-09-21 16:25:32,,desktop,Ecuador,249.0,analytics@retailtech.co,público
EVT-0000110,CLI-00003,SES-00001017,search,2023-02-22 22:58:57,,tablet,Colombia,305.0,analytics@retailtech.co,público
EVT-0000112,,SES-00000790,search,2024-02-17 18:57:53,,tablet,Chile,238.0,analytics@retailtech.co,público
EVT-0000113,CLI-00056,SES-00001919,add_to_cart,2023-11-01 14:53:22,PROD-0004,tablet,Colombia,528.0,analytics@retailtech.co,público
EVT-0000114,CLI-00291,SES-00000947,checkout,2023-08-03 19:33:21,,tablet,México,440.0,analytics@retailtech.co,público
EVT-0000115,CLI-00115,SES-00000676,remove_from_cart,2024-01-08 16:54:20,PROD-0064,mobile,México,74.0,analytics@retailtech.co,público
EVT-0000116,CLI-00112,SES-00001002,remove_from_cart,2024-01-23 15:33:19,PROD-0005,tablet,Colombia,101.0,analytics@retailtech.co,público
EVT-0000117,,SES-00000648,remove_from_cart,2024-12-04 14:29:24,PROD-0025,tablet,Colombia,504.0,analytics@retailtech.co,público
EVT-0000118,CLI-00077,SES-00001466,page_view,2024-06-04 17:13:24,,tablet,Colombia,242.0,analytics@retailtech.co,público
EVT-0000119,CLI-00067,SES-00001397,remove_from_cart,2023-07-13 13:37:37,PROD-0043,desktop,México,142.0,analytics@retailtech.co,público
EVT-0000120,,SES-00001423,page_view,2024-11-30 12:20:12,,tablet,México,292.0,analytics@retailtech.co,público
EVT-0000121,CLI-00028,SES-00001984,page_view,2024-09-30 14:09:16,,desktop,Colombia,77.0,analytics@retailtech.co,público
EVT-0000122,CLI-00018,SES-00000643,add_to_cart,2023-10-27 13:50:39,PROD-0046,mobile,Colombia,43.0,analytics@retailtech.co,público
EVT-0000123,,SES-00000399,page_view,2023-06-02 01:02:26,,mobile,Ecuador,370.0,analytics@retailtech.co,público
EVT-0000124,CLI-00057,SES-00000221,checkout,2024-07-31 08:51:30,,tablet,Colombia,96.0,analytics@retailtech.co,público
EVT-0000125,CLI-00008,SES-00000061,purchase,2024-10-12 04:30:43,PROD-0042,mobile,México,158.0,analytics@retailtech.co,público
EVT-0000126,CLI-00014,SES-00000607,search,2023-06-22 04:58:34,,mobile,Colombia,255.0,analytics@retailtech.co,público
EVT-0000127,CLI-00166,SES-00001190,purchase,2024-11-18 00:59:16,PROD-0044,mobile,Colombia,218.0,analytics@retailtech.co,público
EVT-0000128,CLI-00250,SES-00001241,checkout,2024-12-23 10:27:00,,tablet,Colombia,238.0,analytics@retailtech.co,público
EVT-0000129,CLI-00099,SES-00000127,add_to_cart,2024-10-23 04:31:26,PROD-0077,mobile,México,30.0,analytics@retailtech.co,público
EVT-0000130,CLI-00205,SES-00001942,add_to_cart,2024-06-16 05:44:47,PROD-0019,mobile,Perú,189.0,analytics@retailtech.co,público
EVT-0000131,CLI-00192,SES-00000821,remove_from_cart,2024-12-03 05:09:03,PROD-0003,desktop,Colombia,443.0,analytics@retailtech.co,público
EVT-0000132,CLI-00175,SES-00000080,add_to_cart,2024-10-20 14:01:58,PROD-0023,desktop,Colombia,259.0,analytics@retailtech.co,público
EVT-0000133,CLI-00244,SES-00000784,purchase,2023-11-13 19:02:29,PROD-0015,desktop,México,199.0,analytics@retailtech.co,público
EVT-0000134,CLI-00038,SES-00000323,checkout,2024-12-03 07:48:43,,tablet,Argentina,151.0,analytics@retailtech.co,público
EVT-0000136,,SES-00000949,page_view,2023-02-26 17:08:56,,mobile,México,56.0,analytics@retailtech.co,público
EVT-0000137,CLI-00278,SES-00001617,add_to_cart,2023-11-20 09:39:35,PROD-0057,desktop,Perú,64.0,analytics@retailtech.co,público
EVT-0000138,CLI-00266,SES-00001967,purchase,2024-02-14 06:09:10,PROD-0004,desktop,Ecuador,591.0,analytics@retailtech.co,público
EVT-0000139,,SES-00000749,checkout,2024-07-20 01:57:18,,tablet,Colombia,278.0,analytics@retailtech.co,público
EVT-0000140,CLI-00010,SES-00000902,add_to_cart,2024-05-17 13:00:54,PROD-0034,desktop,México,351.0,analytics@retailtech.co,público
EVT-0000141,CLI-00239,SES-00001014,add_to_cart,2023-07-01 11:29:13,PROD-0061,tablet,Argentina,453.0,analytics@retailtech.co,público
EVT-0000142,,SES-00000959,search,2023-01-04 22:44:38,,mobile,Chile,445.0,analytics@retailtech.co,público
EVT-0000143,CLI-00233,SES-00001118,remove_from_cart,2023-03-30 04:57:39,PROD-0020,mobile,Colombia,140.0,analytics@retailtech.co,público
EVT-0000144,CLI-00037,SES-00001549,checkout,2024-06-08 04:57:25,,mobile,Colombia,2.0,analytics@retailtech.co,público
EVT-0000145,,SES-00000069,add_to_cart,2023-12-16 06:55:31,PROD-0055,mobile,Colombia,556.0,analytics@retailtech.co,público
EVT-0000146,,SES-00000775,purchase,2024-06-11 00:50:12,PROD-0052,mobile,Ecuador,592.0,analytics@retailtech.co,público
EVT-0000147,CLI-00269,SES-00000253,page_view,2024-01-12 20:04:09,,desktop,Chile,137.0,analytics@retailtech.co,público
EVT-0000148,CLI-00139,SES-00000817,page_view,2024-07-24 21:23:15,,desktop,Colombia,570.0,analytics@retailtech.co,público
EVT-0000149,CLI-00002,SES-00000966,remove_from_cart,2024-11-28 08:35:01,PROD-0016,desktop,México,410.0,analytics@retailtech.co,público
EVT-0000150,,SES-00000212,search,2024-05-12 03:23:10,,tablet,Argentina,293.0,analytics@retailtech.co,público
EVT-0000151,CLI-00281,SES-00001223,add_to_cart,2023-03-01 09:14:14,PROD-0057,mobile,Colombia,301.0,analytics@retailtech.co,público
EVT-0000152,CLI-00035,SES-00001898,page_view,2024-02-27 02:42:03,,tablet,Argentina,481.0,analytics@retailtech.co,público
EVT-0000153,CLI-00015,SES-00000025,checkout,2023-02-22 03:31:35,,mobile,Colombia,296.0,analytics@retailtech.co,público
EVT-0000155,CLI-00187,SES-00000970,remove_from_cart,2024-11-21 05:39:57,PROD-0078,mobile,México,342.0,analytics@retailtech.co,público
EVT-0000156,CLI-00232,SES-00000522,checkout,2024-10-17 07:55:38,,desktop,Colombia,265.0,analytics@retailtech.co,público
EVT-0000157,,SES-00000232,search,2024-11-16 20:10:03,,mobile,Chile,299.0,analytics@retailtech.co,público
EVT-0000158,,SES-00000489,purchase,2023-02-10 21:54:23,PROD-0025,mobile,Argentina,236.0,analytics@retailtech.co,público
EVT-0000159,CLI-00294,SES-00001407,checkout,2024-03-30 13:50:48,,tablet,Colombia,386.0,analytics@retailtech.co,público
EVT-0000160,CLI-00046,SES-00000617,purchase,2023-01-05 16:20:21,PROD-0059,tablet,México,534.0,analytics@retailtech.co,público
EVT-0000161,CLI-00041,SES-00001205,page_view,2023-11-02 19:46:25,,tablet,Colombia,346.0,analytics@retailtech.co,público
EVT-0000162,CLI-00183,SES-00000544,search,2024-05-30 12:10:18,,mobile,Colombia,572.0,analytics@retailtech.co,público
EVT-0000163,CLI-00125,SES-00001995,search,2024-03-23 06:11:16,,mobile,México,120.0,analytics@retailtech.co,público
EVT-0000164,CLI-00191,SES-00001971,purchase,2023-04-03 22:03:58,PROD-0010,tablet,Colombia,524.0,analytics@retailtech.co,público
EVT-0000165,CLI-00114,SES-00000498,purchase,2024-09-16 17:42:46,PROD-0010,mobile,Chile,513.0,analytics@retailtech.co,público
EVT-0000166,CLI-00102,SES-00000018,add_to_cart,2024-11-12 06:03:52,PROD-0069,desktop,Perú,429.0,analytics@retailtech.co,público
EVT-0000167,CLI-00254,SES-00000018,add_to_cart,2023-09-29 04:22:39,PROD-0018,mobile,Perú,168.0,analytics@retailtech.co,público
EVT-0000168,CLI-00281,SES-00000289,purchase,2024-08-11 16:55:56,PROD-0079,desktop,Perú,482.0,analytics@retailtech.co,público
EVT-0000169,CLI-00229,SES-00000011,search,2024-11-30 08:38:46,,mobile,Colombia,467.0,analytics@retailtech.co,público
EVT-0000170,CLI-00243,SES-00000166,remove_from_cart,2023-04-17 15:46:35,PROD-0024,mobile,Colombia,512.0,analytics@retailtech.co,público
EVT-0000171,,SES-00001705,purchase,2023-12-11 17:03:51,PROD-0080,desktop,Colombia,439.0,analytics@retailtech.co,público
EVT-0000172,CLI-00278,SES-00000678,add_to_cart,2024-09-26 16:33:41,PROD-0061,mobile,Colombia,463.0,analytics@retailtech.co,público
EVT-0000173,,SES-00001479,remove_from_cart,2023-10-29 02:15:17,PROD-0018,tablet,Ecuador,426.0,analytics@retailtech.co,público
EVT-0000174,CLI-00233,SES-00000132,search,2023-01-04 22:21:38,,tablet,Colombia,256.0,analytics@retailtech.co,público
EVT-0000175,,SES-00001082,page_view,2024-06-12 19:01:07,,mobile,Chile,249.0,analytics@retailtech.co,público
EVT-0000176,CLI-00061,SES-00000738,remove_from_cart,2024-03-08 23:50:42,PROD-0009,mobile,Colombia,136.0,analytics@retailtech.co,público
EVT-0000177,,SES-00000058,remove_from_cart,2024-12-19 07:55:57,PROD-0060,tablet,Colombia,531.0,analytics@retailtech.co,público
EVT-0000178,CLI-00068,SES-00000921,checkout,2023-01-31 10:14:06,,tablet,Argentina,55.0,analytics@retailtech.co,público
EVT-0000179,CLI-00252,SES-00000848,page_view,2023-08-07 14:43:11,,tablet,México,468.0,analytics@retailtech.co,público
EVT-0000180,,SES-00001282,purchase,2023-12-27 13:12:55,PROD-0017,desktop,Colombia,504.0,analytics@retailtech.co,público
EVT-0000181,CLI-00025,SES-00000159,remove_from_cart,2024-07-11 05:35:57,PROD-0054,mobile,México,523.0,analytics@retailtech.co,público
EVT-0000182,,SES-00001452,search,2023-12-06 16:25:24,,mobile,Colombia,170.0,analytics@retailtech.co,público
EVT-0000183,,SES-00001922,page_view,2024-10-05 17:43:33,,desktop,Argentina,554.0,analytics@retailtech.co,público
EVT-0000184,CLI-00162,SES-00000559,purchase,2024-01-26 13:37:02,PROD-0079,mobile,Colombia,539.0,analytics@retailtech.co,público
EVT-0000186,CLI-00277,SES-00000187,add_to_cart,2023-03-23 21:14:53,PROD-0059,tablet,Chile,164.0,analytics@retailtech.co,público
EVT-0000187,CLI-00268,SES-00000601,search,2023-01-18 06:55:27,,desktop,Chile,493.0,analytics@retailtech.co,público
EVT-0000188,CLI-00174,SES-00000295,page_view,2024-07-12 12:08:27,,tablet,Colombia,30.0,analytics@retailtech.co,público
EVT-0000189,CLI-00248,SES-00000464,search,2023-09-07 04:00:32,,mobile,Colombia,8.0,analytics@retailtech.co,público
EVT-0000190,,SES-00001307,page_view,2024-02-21 05:42:34,,tablet,Colombia,378.0,analytics@retailtech.co,público
EVT-0000191,CLI-00099,SES-00001759,remove_from_cart,2024-05-06 07:21:57,PROD-0017,mobile,Colombia,38.0,analytics@retailtech.co,público
EVT-0000192,CLI-00183,SES-00000963,checkout,2023-02-27 08:21:13,,desktop,Colombia,474.0,analytics@retailtech.co,público
EVT-0000193,CLI-00088,SES-00001890,add_to_cart,2023-08-14 23:40:42,PROD-0058,desktop,Colombia,261.0,analytics@retailtech.co,público
EVT-0000194,CLI-00149,SES-00001237,remove_from_cart,2023-02-12 23:09:21,PROD-0067,tablet,Chile,593.0,analytics@retailtech.co,público
EVT-0000195,,SES-00000977,page_view,2024-04-05 14:41:02,,tablet,Colombia,369.0,analytics@retailtech.co,público
EVT-0000196,CLI-00205,SES-00000477,purchase,2024-08-20 13:40:50,PROD-0059,tablet,Colombia,352.0,analytics@retailtech.co,público
EVT-0000197,CLI-00143,SES-00001529,add_to_cart,2024-01-25 19:00:19,PROD-0034,tablet,Colombia,213.0,analytics@retailtech.co,público
EVT-0000198,CLI-00084,SES-00001234,page_view,2023-07-11 22:11:39,,mobile,Colombia,449.0,analytics@retailtech.co,público
EVT-0000199,CLI-00083,SES-00001260,page_view,2023-01-30 00:42:54,,mobile,Argentina,286.0,analytics@retailtech.co,público
EVT-0000200,CLI-00013,SES-00000662,add_to_cart,2023-06-13 13:17:02,PROD-0077,desktop,Colombia,49.0,analytics@retailtech.co,público
EVT-0000201,,SES-00001478,page_view,2023-08-19 07:36:32,,tablet,Colombia,385.0,analytics@retailtech.co,público
EVT-0000202,CLI-00282,SES-00001825,add_to_cart,2023-05-28 17:14:15,PROD-0042,tablet,Chile,554.0,analytics@retailtech.co,público
EVT-0000203,CLI-00106,SES-00001716,search,2024-11-20 00:07:23,,desktop,Colombia,133.0,analytics@retailtech.co,público
EVT-0000204,,SES-00000146,checkout,2024-10-13 20:28:31,,mobile,Argentina,442.0,analytics@retailtech.co,público
EVT-0000205,CLI-00298,SES-00000724,add_to_cart,2024-11-06 19:23:29,PROD-0038,mobile,Colombia,584.0,analytics@retailtech.co,público
EVT-0000206,CLI-00123,SES-00000275,add_to_cart,2024-01-15 11:01:57,PROD-0050,tablet,México,118.0,analytics@retailtech.co,público
EVT-0000207,CLI-00147,SES-00000460,purchase,2023-11-04 16:23:56,PROD-0072,tablet,Colombia,321.0,analytics@retailtech.co,público
EVT-0000208,CLI-00074,SES-00001931,purchase,2023-05-15 23:54:42,PROD-0008,mobile,Perú,513.0,analytics@retailtech.co,público
EVT-0000209,CLI-00035,SES-00000190,add_to_cart,2023-06-17 02:25:41,PROD-0024,mobile,Perú,303.0,analytics@retailtech.co,público
EVT-0000210,,SES-00001617,page_view,2024-12-28 09:20:09,,tablet,Colombia,269.0,analytics@retailtech.co,público
EVT-0000211,CLI-00281,SES-00001948,page_view,2024-04-19 06:01:32,,desktop,Colombia,248.0,analytics@retailtech.co,público
EVT-0000212,CLI-00146,SES-00000020,purchase,2023-06-26 23:59:05,PROD-0037,tablet,México,447.0,analytics@retailtech.co,público
EVT-0000213,CLI-00012,SES-00000361,add_to_cart,2023-08-28 09:41:53,PROD-0012,tablet,Colombia,40.0,analytics@retailtech.co,público
EVT-0000214,,SES-00000650,search,2024-01-06 22:53:42,,tablet,Colombia,290.0,analytics@retailtech.co,público
EVT-0000215,,SES-00001852,purchase,2024-05-04 19:58:16,PROD-0031,desktop,Colombia,89.0,analytics@retailtech.co,público
EVT-0000216,,SES-00001518,checkout,2024-07-20 19:05:50,,tablet,Ecuador,515.0,analytics@retailtech.co,público
